date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:29:28	19185/19185	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2011%20Dec%202020%2012:59:28%20GMT	https://player.vimeo.com/api/player.js	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/player.vimeo.com/api/player.js	(from https://www.hypergiant.com/)
18:29:28	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Dec%202020%2012:59:28%20GMT	https://www.hypergiant.com/sensory-sciences/	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/sensory-sciences/index.html	(from https://www.hypergiant.com/)
18:29:28	1593/1593	---M--	200	added ('OK')	image/png	etag:%225dfda32c-639%22	https://www.hypergiant.com/wp-content/uploads/2019/05/division-logo-1.png	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/wp-content/uploads/2019/05/division-logo-1.png	(from https://www.hypergiant.com/)
18:29:28	57533/57533	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Dec%202020%2012:59:28%20GMT	https://www.hypergiant.com/divisions/machine-learning-startups/	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/divisions/machine-learning-startups/index.html	(from https://www.hypergiant.com/)
18:29:29	1585/1585	---M--	200	added ('OK')	image/png	etag:%225dfda32c-631%22	https://www.hypergiant.com/wp-content/uploads/2019/05/division-logo-2.png	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/wp-content/uploads/2019/05/division-logo-2.png	(from https://www.hypergiant.com/)
18:29:29	1540/1540	---M--	200	added ('OK')	image/png	etag:%225dfda32c-604%22	https://www.hypergiant.com/wp-content/uploads/2019/05/division-logo-3.png	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/wp-content/uploads/2019/05/division-logo-3.png	(from https://www.hypergiant.com/)
18:29:29	1559/1559	---M--	200	added ('OK')	image/png	etag:%225dfda32c-617%22	https://www.hypergiant.com/wp-content/uploads/2019/05/division-logo-4.png	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/wp-content/uploads/2019/05/division-logo-4.png	(from https://www.hypergiant.com/)
18:29:29	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Dec%202020%2012:59:29%20GMT	https://www.hypergiant.com/galactic/	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/galactic/index.html	(from https://www.hypergiant.com/)
18:29:29	1562/1562	---M--	200	added ('OK')	image/png	etag:%225dfda32c-61a%22	https://www.hypergiant.com/wp-content/uploads/2019/05/division-logo-5.png	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/wp-content/uploads/2019/05/division-logo-5.png	(from https://www.hypergiant.com/)
18:29:30	1486/1486	---M--	200	added ('OK')	image/png	etag:%225dfda32c-5ce%22	https://www.hypergiant.com/wp-content/uploads/2019/05/division-logo-6.png	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/wp-content/uploads/2019/05/division-logo-6.png	(from https://www.hypergiant.com/)
18:29:30	58088/58088	---M--	200	added ('OK')	image/png	etag:%225dfda32c-e2e8%22	https://www.hypergiant.com/wp-content/uploads/2019/01/division-icon-1.png	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/wp-content/uploads/2019/01/division-icon-1.png	(from https://www.hypergiant.com/)
18:29:30	64373/64373	---M--	200	added ('OK')	image/png	etag:%225dfda32c-fb75%22	https://www.hypergiant.com/wp-content/uploads/2019/01/division-icon-1-hover.png	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/wp-content/uploads/2019/01/division-icon-1-hover.png	(from https://www.hypergiant.com/)
18:29:30	62254/62254	---M--	200	added ('OK')	image/png	etag:%225dfda32c-f32e%22	https://www.hypergiant.com/wp-content/uploads/2019/01/division-icon-2.png	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/wp-content/uploads/2019/01/division-icon-2.png	(from https://www.hypergiant.com/)
18:29:30	119610/119610	---M--	200	added ('OK')	image/png	etag:%225dfda32c-1d33a%22	https://www.hypergiant.com/wp-content/uploads/2019/01/division-icon-2-hover.png	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/wp-content/uploads/2019/01/division-icon-2-hover.png	(from https://www.hypergiant.com/)
18:29:31	54358/54358	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Dec%202020%2012:59:30%20GMT	https://www.hypergiant.com/privacy/	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/privacy/index.html	(from https://www.hypergiant.com/)
18:29:31	58544/58544	---M--	200	added ('OK')	image/png	etag:%225dfda32c-e4b0%22	https://www.hypergiant.com/wp-content/uploads/2019/01/division-icon-3.png	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/wp-content/uploads/2019/01/division-icon-3.png	(from https://www.hypergiant.com/)
18:29:31	69946/69946	---M--	200	added ('OK')	image/png	etag:%225dfda32c-1113a%22	https://www.hypergiant.com/wp-content/uploads/2019/01/division-icon-3-hover.png	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/wp-content/uploads/2019/01/division-icon-3-hover.png	(from https://www.hypergiant.com/)
18:29:31	57533/57533	---M--	200	added ('OK')	image/png	etag:%225dfda32c-e0bd%22	https://www.hypergiant.com/wp-content/uploads/2019/01/division-icon-4.png	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/wp-content/uploads/2019/01/division-icon-4.png	(from https://www.hypergiant.com/)
18:29:31	67552/67552	---M--	200	added ('OK')	image/png	etag:%225dfda32c-107e0%22	https://www.hypergiant.com/wp-content/uploads/2019/01/division-icon-4-hover.png	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/wp-content/uploads/2019/01/division-icon-4-hover.png	(from https://www.hypergiant.com/)
18:29:31	51512/51512	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Dec%202020%2012:59:31%20GMT	https://www.hypergiant.com/terms-of-use/	C:/Users/AnkitaSingh/Desktop/ajax/intern1/intern1/www.hypergiant.com/terms-of-use/index.html	(from https://www.hypergiant.com/)
